year,importer_name,indicator,Barley,Capital goods,Coal,Consumption goods n.e.s,Food and beverages,Fuels and Lubricants,Gas,Goods not specified,Industrial Supplies,Maize,Petroleum oils,Potash,Steel and Iron,Sunflower oil,Transport equipment,"Weapons, Firearms, Ammunition",Wheat
2018-2020,Algeria,Share,14.059999999999999,3.75,18.44,0.27,2.7199999999999998,1.49,8.68,,0.78,5.78,20.53,0.04,19.22,95.58,6.1,49.24,0.14
2018-2020,Algeria,USD (million),12.222059699999999,307.01994800000006,0.5269153,11.121145,121.3893547,2.298189,9.3828297,,74.7166766,43.5227877,286.949384,0.0219343,234.9252756,27.93106,306.35495530000003,42.758733,2.1489879999999997
2018-2020,Angola,Share,,0.26,,0.02,1.0899999999999999,0.07,,4.32,0.68,,0.22,2.88,1.62,22.82,0.63,49.61,15.88
2018-2020,Angola,USD (million),,8.696293599999999,,0.1805344,23.418375999999995,0.004846700000000001,,1.7803667,15.482770700000001,,2.9045817,0.5386127,3.2229906,1.867861,7.246612,16.1206243,25.0982783
2018-2020,Benin,Share,88.27,0.01,66.53,0.0,0.28,0.0,,,0.5900000000000001,0.58,0.37,23.49,12.26,66.91,0.0,,99.9
2018-2020,Benin,USD (million),0.0005793,0.0188533,5.243134,0.000572,4.774343699999999,0.00034470000000000003,,,6.0815883,0.0054753,0.67969,14.045281300000001,13.887566000000001,0.488576,0.0294253,,3.3917693
2018-2020,Botswana,Share,,0.06999999999999999,,0.0,0.0,,,,0.86,,,,,0.59,0.0,,0.38
2018-2020,Botswana,USD (million),,0.6186743,,0.0100514,0.0004663,,,,22.9975497,,,,,0.14418129999999998,0.0191743,,0.0335103
2018-2020,Burkina Faso,Share,,0.22,,0.08,1.5599999999999998,0.0,0.25,,3.32,,0.02,0.86,12.25,13.92,1.56,,38.33
2018-2020,Burkina Faso,USD (million),,1.5429096,,0.37477200000000005,8.3379573,0.0027373,0.122329,,26.7286546,,0.1006067,0.5069527,10.4931333,0.030639,6.1928386,,11.2205954
