period,Sunflower oil,Maize,Wheat,Palm oil
2018-01-01,799.04,155.838228,192.1693941,703.45
2018-02-01,806,163.357516,192.1693941,709.44
2018-03-01,800.91,171.998792,192.1693941,706.19
2018-04-01,799.33,175.6049008,213.8481594,701.18
2018-05-01,801.32,179.085032,213.8481594,687.15
2018-06-01,775,165.070024,219.3597099,656.5
2018-07-01,780.05,156.4602424,218.2573998,616.14
2018-08-01,763.23,162.373316,236.6292348,614.75
2018-09-01,733.95,154.8028496,212.3784126,605.15
2018-10-01,718.04,160.2553176,213.4807227,589.8
2018-11-01,706.09,160.6883656,203.5599318,539.1
2018-12-01,703,167.4399776,211.2761025,535.02
2019-01-01,688.13,166.743164,209.8063557,584.58
2019-02-01,700,169.5225448,218.9922732,602.97
2019-03-01,711.71,166.2235064,205.764552,573.02
2019-04-01,713,161.487536,199.5181281,588.45
2019-05-01,721.57,171.0815176,199.5181281,564.4
2019-06-01,725,195.0802504,206.1319887,552.19
2019-07-01,753.83,189.419132,196.2111978,543.88
2019-08-01,776,163.5858504,181.1462931,586.12
2019-09-01,776,157.2594128,189.5973372,580.3
2019-10-01,776,167.1486544,199.5181281,591.35
2019-11-01,776,166.3337368,203.1924951,685.41
2019-12-01,776,166.9557512,210.9086658,763.73
2020-01-01,806.91,171.7862048,224.5038237,810.07
2020-02-01,823,168.711564,215.3179062,728.81
2020-03-01,730,162.4205576,209.0714823,636.25
2020-04-01,732.1,146.9095656,218.9922732,608.88
2020-05-01,738.26,143.9057872,205.764552,576.56
2020-06-01,788.36,147.9882488,198.415818,656.49
2020-07-01,833.17,152.5549368,222.13,694.16
2020-08-01,877.14,149.342508,223,760.3
2020-09-01,982.38482384824,166.0817816,247.68,796.22
2020-10-01,981.40243902439,186.7460448,272.36,819.27
2020-11-01,1109.11246612466,190.3757744,273,917.81
2020-12-01,1170.02032520325,198.769032,268.55,1016.37389145497
2021-01-01,1276.11788617886,234.4679501472,289.3,990.27
2021-02-01,1362.56775067751,245.2350824,289.4,1019.86
2021-03-01,1611.11111111111,245.1720936,273.13,1030.48
2021-04-01,1572.79810298103,268.233868,280.95,1078.05
2021-05-01,1584.58672086721,305.3106504,297.25,1136.46
2021-06-01,1296.74796747967,292.5593552,285.55,1004.42
2021-07-01,1282.01219512195,278.4341168,294.27,1062.99
2021-08-01,1355.69105691057,256.6124344,324.52,1141.82
2021-09-01,1309.5189701897,235.61748,337.55,1181.38
2021-10-01,1420.52845528455,239.6487632,354.67,1310.25
2021-11-01,1415.61653116531,248.7191504,379.45,1340.65
2021-12-01,1361.83096205962,264.5372128,376.81,1270.29
2022-01-01,1411.73,276.6231888,374.24,1344.79
2022-02-01,1499.12,292.622344,390.5,1522.36
2022-03-01,2361.13,335.5295272,486.3,1776.96
2022-04-01,2275.76,348.1666552,495.28,1682.74
2022-05-01,2079.3,344.8400592,522.29,1716.92
2022-06-01,1884.59,335.7145568,459.59,1501.1
2022-07-01,1556.87,322.9671984,382.5,1056.64
2022-08-01,1496.22,289.8350896,382.86,1025.95
2022-09-01,1304.75,312.6567192,419.14,909.32
2022-10-01,1359.15,343.5566624,437.95,888.99
