period,fertilizer,price
2007-05-01,Phosphate rock,44.0
2007-06-01,Phosphate rock,44.0
2007-07-01,Phosphate rock,44.0
2007-08-01,Phosphate rock,44.0
2007-09-01,Phosphate rock,57.75
2007-10-01,Phosphate rock,71.5
2007-11-01,Phosphate rock,71.5
2007-12-01,Phosphate rock,71.5
2008-01-01,Phosphate rock,71.5
2008-02-01,Phosphate rock,71.5
2008-03-01,Phosphate rock,71.5
2008-04-01,Phosphate rock,160.375
2008-05-01,Phosphate rock,190.0
2008-06-01,Phosphate rock,190.0
2008-07-01,Phosphate rock,240.0
2008-08-01,Phosphate rock,290.0
2008-09-01,Phosphate rock,278.0
2008-10-01,Phosphate rock,450.0
2008-11-01,Phosphate rock,450.0
2008-12-01,Phosphate rock,450.0
2009-01-01,Phosphate rock,450.0
2009-02-01,Phosphate rock,450.0
2009-03-01,Phosphate rock,450.0
2009-04-01,Phosphate rock,315.0
2009-05-01,Phosphate rock,270.0
2009-06-01,Phosphate rock,198.0
2009-07-01,Phosphate rock,90.0
2009-08-01,Phosphate rock,90.0
2009-09-01,Phosphate rock,90.0
2009-10-01,Phosphate rock,90.0
2009-11-01,Phosphate rock,90.0
2009-12-01,Phosphate rock,90.0
2010-01-01,Phosphate rock,90.0
2010-02-01,Phosphate rock,90.0
2010-03-01,Phosphate rock,90.0
2010-04-01,Phosphate rock,90.0
2010-05-01,Phosphate rock,90.0
2010-06-01,Phosphate rock,90.0
2010-07-01,Phosphate rock,98.75
2010-08-01,Phosphate rock,125.0
2010-09-01,Phosphate rock,125.0
2010-10-01,Phosphate rock,125.0
2010-11-01,Phosphate rock,125.0
2010-12-01,Phosphate rock,125.0
2011-01-01,Phosphate rock,125.0
2011-02-01,Phosphate rock,140.0
2011-03-01,Phosphate rock,145.0
2011-04-01,Phosphate rock,145.0
2011-05-01,Phosphate rock,147.0
2011-06-01,Phosphate rock,155.0
2011-07-01,Phosphate rock,161.875
2011-08-01,Phosphate rock,182.5
2011-09-01,Phosphate rock,182.5
2011-10-01,Phosphate rock,188.75
2011-11-01,Phosphate rock,195.0
2011-12-01,Phosphate rock,195.0
2012-01-01,Phosphate rock,195.0
2012-02-01,Phosphate rock,190.0
2012-03-01,Phosphate rock,160.0
2012-04-01,Phosphate rock,185.0
2012-05-01,Phosphate rock,195.0
2012-06-01,Phosphate rock,193.125
2012-07-01,Phosphate rock,188.5
2012-08-01,Phosphate rock,182.5
2012-09-01,Phosphate rock,182.5
2012-10-01,Phosphate rock,182.5
2012-11-01,Phosphate rock,182.5
2012-12-01,Phosphate rock,182.5
2013-01-01,Phosphate rock,182.5
2013-02-01,Phosphate rock,182.5
2013-03-01,Phosphate rock,160.0
2013-04-01,Phosphate rock,111.5
2013-05-01,Phosphate rock,157.5
2013-06-01,Phosphate rock,125.625
2013-07-01,Phosphate rock,115.0
2013-08-01,Phosphate rock,115.0
2013-09-01,Phosphate rock,97.5
2013-10-01,Phosphate rock,84.375
2013-11-01,Phosphate rock,87.5
2013-12-01,Phosphate rock,96.875
2014-01-01,Phosphate rock,97.5
2014-02-01,Phosphate rock,97.5
2014-03-01,Phosphate rock,106.6
2014-04-01,Phosphate rock,111.5
2014-05-01,Phosphate rock,112.625
2014-06-01,Phosphate rock,111.4
2014-07-01,Phosphate rock,111.0
2014-08-01,Phosphate rock,111.0
2014-09-01,Phosphate rock,111.375
2014-10-01,Phosphate rock,116.0
2014-11-01,Phosphate rock,119.5
2014-12-01,Phosphate rock,119.5
2015-01-01,Phosphate rock,119.5
2015-02-01,Phosphate rock,121.25
2015-03-01,Phosphate rock,123.0
2015-04-01,Phosphate rock,114.125
2015-05-01,Phosphate rock,110.5
2015-06-01,Phosphate rock,118.9
2015-07-01,Phosphate rock,121.0
2015-08-01,Phosphate rock,121.0
