Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","14416","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","14416","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","14416","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","177060.29","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","106194.01","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","45297.96","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","5.14","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","0.01","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","11.04","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","140775.85","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","46613.5","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","59702.92","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","1541","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","1541","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","1541","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","23220.34","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","13089.24","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","24220.88","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","16656.69","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","12319.04","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","25761.88","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3104","Nutrient potash K2O (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5510","Production","3104","Nutrient potash K2O (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","31.33","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","17.97","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5610","Import Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","46.28","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3104","Nutrient potash K2O (total)","2017","2017","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3104","Nutrient potash K2O (total)","2018","2018","tonnes","15","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5910","Export Quantity","3104","Nutrient potash K2O (total)","2019","2019","tonnes","157.75","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2017","2017","tonnes","31.48","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2018","2018","tonnes","0.62","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","2","Afghanistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","0","Z","When the Fertilizer Utilization Account (FUA) does not balance due to utilization from stockpiles, apparent consumption has been set to zero"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","19216.33","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","23022.36","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","35524.09","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1.7","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","10791.03","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","4777.56","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","39184.92","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","24769.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","38329.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5510","Production","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","0","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","15438.46","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","10484.89","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5610","Import Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","15422.53","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2017","2017","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2018","2018","tonnes","0","Fc","Calculated data"
"RFN","Fertilizers by Nutrient","3","Albania","5910","Export Quantity","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","0","Fc","Calculated data"
