Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","11047.75","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","33831.15","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","4532.92","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4022","Diammonium phosphate (DAP)","2019","2019","1000 US$","13805.01","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4011","Phosphate rock","2018","2018","tonnes","71","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4011","Phosphate rock","2018","2018","1000 US$","7.1","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","2.5","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","21.12","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","4.27","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","32.03","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","25","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5910","Export Quantity","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","262.92","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","1000 US$","7.37","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5922","Export Value","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","1000 US$","77.18","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4001","Urea","2018","2018","tonnes","209104.3","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5610","Import Quantity","4001","Urea","2019","2019","tonnes","66405.93","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4001","Urea","2018","2018","1000 US$","49007.15","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5622","Import Value","4001","Urea","2019","2019","1000 US$","20288.83","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5910","Export Quantity","4001","Urea","2019","2019","tonnes","24","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5922","Export Value","4001","Urea","2019","2019","1000 US$","9.54","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","2","Afghanistan","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","519122","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","7608.4","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","14264.89","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","3","Albania","5622","Import Value","4022","Diammonium phosphate (DAP)","2018","2018","1000 US$","3325.38","R","Estimated data using trading partners database"
