iso_code,country,download
DZA,Algeria,yes
AGO,Angola,yes
BEN,Benin,yes
BWA,Botswana,yes
BFA,Burkina Faso,yes
BDI,Burundi,yes
CPV,Cape Verde,yes
CMR,Cameroon,yes
CAF,C.A.R,yes
TCD,Chad,yes
COM,Comoros,yes
COD,D.R.C,yes
CIV,Cote d'Ivoire,yes
COG,Congo,yes
DJI,Djibouti,yes
EGY,Egypt,yes
GNQ,Eq. Guinea,yes
ERI,Eritrea,yes
SWZ,Swaziland,yes
ETH,Ethiopia,yes
GAB,Gabon,yes
GMB,Gambia,yes
GHA,Ghana,yes
GIN,Guinea,yes
GNB,Guinea-Bissau,yes
KEN,Kenya,yes
LSO,Lesotho,yes
LBR,Liberia,yes
LBY,Libya,yes
MDG,Madagascar,yes
MWI,Malawi,yes
MLI,Mali,yes
MRT,Mauritania,yes
MUS,Mauritius,yes
MAR,Morocco,yes
MOZ,Mozambique,yes
NAM,Namibia,yes
NER,Niger,yes
NGA,Nigeria,yes
RWA,Rwanda,yes
STP,Sao Tome & P.,yes
SEN,Senegal,yes
SYC,Seychelles,yes
SLE,Sierra Leone,yes
SHN,Saint Helena,yes
SOM,Somalia,yes
ZAF,South Africa,yes
SSD,South Sudan,yes
SDN,Sudan,yes
TGO,Togo,yes
TUN,Tunisia,yes
UGA,Uganda,yes
TZA,Tanzania,yes
ZMB,Zambia,yes
ZWE,Zimbabwe,yes
